image_path,prompt
1_0.png,A sample size tube of toothpaste on it A cat laying in from covered window
1_1.png,A sample size tube of toothpaste on it A cat laying in from covered window
1_2.png,A sample size tube of toothpaste on it A cat laying in from covered window
1_3.png,A sample size tube of toothpaste on it A cat laying in from covered window
2_0.png,Cat sitting on a kitchen a woman holding food in the background
2_1.png,Cat sitting on a kitchen a woman holding food in the background
2_2.png,Cat sitting on a kitchen a woman holding food in the background
2_3.png,Cat sitting on a kitchen a woman holding food in the background
3_0.png,A gray cat with a disc
3_1.png,A gray cat with a disc
3_2.png,A gray cat with a disc
3_3.png,A gray cat with a disc
4_0.png,A blue and white cat laying across a dirt pathway near a pole
4_1.png,A blue and white cat laying across a dirt pathway near a pole
4_2.png,A blue and white cat laying across a dirt pathway near a pole
4_3.png,A blue and white cat laying across a dirt pathway near a pole
5_0.png,A black cat on top of a room
5_1.png,A black cat on top of a room
5_2.png,A black cat on top of a room
5_3.png,A black cat on top of a room
6_0.png,A tan cat peers at the farm
6_1.png,A tan cat peers at the farm
6_2.png,A tan cat peers at the farm
6_3.png,A tan cat peers at the farm
7_0.png,A cat sitting on a bed with her racket
7_1.png,A cat sitting on a bed with her racket
7_2.png,A cat sitting on a bed with her racket
7_3.png,A cat sitting on a bed with her racket
8_0.png,A cat sits in darkness behind a rail in a kitchen
8_1.png,A cat sits in darkness behind a rail in a kitchen
8_2.png,A cat sits in darkness behind a rail in a kitchen
8_3.png,A cat sits in darkness behind a rail in a kitchen
9_0.png,A man walks down the street in front of a cat on a carpeted room
9_1.png,A man walks down the street in front of a cat on a carpeted room
9_2.png,A man walks down the street in front of a cat on a carpeted room
9_3.png,A man walks down the street in front of a cat on a carpeted room
10_0.png,The cat was sitting and a keyboard on a bed
10_1.png,The cat was sitting and a keyboard on a bed
10_2.png,The cat was sitting and a keyboard on a bed
10_3.png,The cat was sitting and a keyboard on a bed
11_0.png,A cat is lurking and ready to fly his box kite
11_1.png,A cat is lurking and ready to fly his box kite
11_2.png,A cat is lurking and ready to fly his box kite
11_3.png,A cat is lurking and ready to fly his box kite
12_0.png,A cat laying on top of a woman with a sheet covered couch
12_1.png,A cat laying on top of a woman with a sheet covered couch
12_2.png,A cat laying on top of a woman with a sheet covered couch
12_3.png,A cat laying on top of a woman with a sheet covered couch
13_0.png,A black and white cat is sitting on a old vintage bus thats on display
13_1.png,A black and white cat is sitting on a old vintage bus thats on display
13_2.png,A black and white cat is sitting on a old vintage bus thats on display
13_3.png,A black and white cat is sitting on a old vintage bus thats on display
14_0.png,An angry looking cat stands in front of a lush green field
14_1.png,An angry looking cat stands in front of a lush green field
14_2.png,An angry looking cat stands in front of a lush green field
14_3.png,An angry looking cat stands in front of a lush green field
15_0.png,A cat sitting down and ignored
15_1.png,A cat sitting down and ignored
15_2.png,A cat sitting down and ignored
15_3.png,A cat sitting down and ignored
16_0.png,Cat making a mean face while looking like a fire place with a skateboard
16_1.png,Cat making a mean face while looking like a fire place with a skateboard
16_2.png,Cat making a mean face while looking like a fire place with a skateboard
16_3.png,Cat making a mean face while looking like a fire place with a skateboard
17_0.png,A cat in a huge cross on the bench
17_1.png,A cat in a huge cross on the bench
17_2.png,A cat in a huge cross on the bench
17_3.png,A cat in a huge cross on the bench
18_0.png,THE TOP OF A PARKING METER A cat sitting on a bench
18_1.png,THE TOP OF A PARKING METER A cat sitting on a bench
18_2.png,THE TOP OF A PARKING METER A cat sitting on a bench
18_3.png,THE TOP OF A PARKING METER A cat sitting on a bench
19_0.png,A cat looks on. an elderly woman
19_1.png,A cat looks on. an elderly woman
19_2.png,A cat looks on. an elderly woman
19_3.png,A cat looks on. an elderly woman
20_0.png,A sky view of a cat umbrella
20_1.png,A sky view of a cat umbrella
20_2.png,A sky view of a cat umbrella
20_3.png,A sky view of a cat umbrella
21_0.png,a cat laying among other smaller kites
21_1.png,a cat laying among other smaller kites
21_2.png,a cat laying among other smaller kites
21_3.png,a cat laying among other smaller kites
22_0.png,A man holding a cat sitting on top of a wheel
22_1.png,A man holding a cat sitting on top of a wheel
22_2.png,A man holding a cat sitting on top of a wheel
22_3.png,A man holding a cat sitting on top of a wheel
23_0.png,An airplane flying in the dirt. a cat that is on a runway at an intersection
23_1.png,An airplane flying in the dirt. a cat that is on a runway at an intersection
23_2.png,An airplane flying in the dirt. a cat that is on a runway at an intersection
23_3.png,An airplane flying in the dirt. a cat that is on a runway at an intersection
24_0.png,A living room with a cake and a stuffed cat animal sitting by a window
24_1.png,A living room with a cake and a stuffed cat animal sitting by a window
24_2.png,A living room with a cake and a stuffed cat animal sitting by a window
24_3.png,A living room with a cake and a stuffed cat animal sitting by a window
25_0.png,a cat is standing in a valley with mountains behind it
25_1.png,a cat is standing in a valley with mountains behind it
25_2.png,a cat is standing in a valley with mountains behind it
25_3.png,a cat is standing in a valley with mountains behind it
26_0.png,The cat leaves paw prints as he stands before a calm river
26_1.png,The cat leaves paw prints as he stands before a calm river
26_2.png,The cat leaves paw prints as he stands before a calm river
26_3.png,The cat leaves paw prints as he stands before a calm river
27_0.png,A person petting a cat
27_1.png,A person petting a cat
27_2.png,A person petting a cat
27_3.png,A person petting a cat
28_0.png,A striped tabby cat stands by a toaster with a side table
28_1.png,A striped tabby cat stands by a toaster with a side table
28_2.png,A striped tabby cat stands by a toaster with a side table
28_3.png,A striped tabby cat stands by a toaster with a side table
29_0.png,A white cat laying on top of a plate next to a brown horse towards a playground
29_1.png,A white cat laying on top of a plate next to a brown horse towards a playground
29_2.png,A white cat laying on top of a plate next to a brown horse towards a playground
29_3.png,A white cat laying on top of a plate next to a brown horse towards a playground
30_0.png,A black and white cat laying on toy next to a building
30_1.png,A black and white cat laying on toy next to a building
30_2.png,A black and white cat laying on toy next to a building
30_3.png,A black and white cat laying on toy next to a building
31_0.png,A black cat with green unripe bananas
31_1.png,A black cat with green unripe bananas
31_2.png,A black cat with green unripe bananas
31_3.png,A black cat with green unripe bananas
32_0.png,This is a gray and white cat on her phone to record an event
32_1.png,This is a gray and white cat on her phone to record an event
32_2.png,This is a gray and white cat on her phone to record an event
32_3.png,This is a gray and white cat on her phone to record an event
33_0.png,A black cat laying next to the camera
33_1.png,A black cat laying next to the camera
33_2.png,A black cat laying next to the camera
33_3.png,A black cat laying next to the camera
34_0.png,A odd looking bird with purple and white cat lays on its back
34_1.png,A odd looking bird with purple and white cat lays on its back
34_2.png,A odd looking bird with purple and white cat lays on its back
34_3.png,A odd looking bird with purple and white cat lays on its back
35_0.png,Large adult grey cat looking upward
35_1.png,Large adult grey cat looking upward
35_2.png,Large adult grey cat looking upward
35_3.png,Large adult grey cat looking upward
36_0.png,A cat sitting on top of an oven Doughnuts on trays under heating lamps
36_1.png,A cat sitting on top of an oven Doughnuts on trays under heating lamps
36_2.png,A cat sitting on top of an oven Doughnuts on trays under heating lamps
36_3.png,A cat sitting on top of an oven Doughnuts on trays under heating lamps
37_0.png,A woman standing in front of an open sign. a cat attempts to get to the plate
37_1.png,A woman standing in front of an open sign. a cat attempts to get to the plate
37_2.png,A woman standing in front of an open sign. a cat attempts to get to the plate
37_3.png,A woman standing in front of an open sign. a cat attempts to get to the plate
38_0.png,There is a orange tabby cat in it
38_1.png,There is a orange tabby cat in it
38_2.png,There is a orange tabby cat in it
38_3.png,There is a orange tabby cat in it
39_0.png,Black and white cat eating food Plates of food on a fluffy dog with his racquet
39_1.png,Black and white cat eating food Plates of food on a fluffy dog with his racquet
39_2.png,Black and white cat eating food Plates of food on a fluffy dog with his racquet
39_3.png,Black and white cat eating food Plates of food on a fluffy dog with his racquet
40_0.png,"A black cat with green peppers, onions, and mushrooms"
40_1.png,"A black cat with green peppers, onions, and mushrooms"
40_2.png,"A black cat with green peppers, onions, and mushrooms"
40_3.png,"A black cat with green peppers, onions, and mushrooms"
41_0.png,A giraffe in a chair by a black cat on a bench at the airport walkway
41_1.png,A giraffe in a chair by a black cat on a bench at the airport walkway
41_2.png,A giraffe in a chair by a black cat on a bench at the airport walkway
41_3.png,A giraffe in a chair by a black cat on a bench at the airport walkway
42_0.png,A white cat looking forward
42_1.png,A white cat looking forward
42_2.png,A white cat looking forward
42_3.png,A white cat looking forward
43_0.png,Grey and white cat a screwdriver and a little league player in a kitchen floor
43_1.png,Grey and white cat a screwdriver and a little league player in a kitchen floor
43_2.png,Grey and white cat a screwdriver and a little league player in a kitchen floor
43_3.png,Grey and white cat a screwdriver and a little league player in a kitchen floor
44_0.png,A man standing near a yellow and orange cat on a river
44_1.png,A man standing near a yellow and orange cat on a river
44_2.png,A man standing near a yellow and orange cat on a river
44_3.png,A man standing near a yellow and orange cat on a river
45_0.png,A cat near a bed
45_1.png,A cat near a bed
45_2.png,A cat near a bed
45_3.png,A cat near a bed
46_0.png,A cat has his other leg and arm up
46_1.png,A cat has his other leg and arm up
46_2.png,A cat has his other leg and arm up
46_3.png,A cat has his other leg and arm up
47_0.png,Two young children with ties and gray cat
47_1.png,Two young children with ties and gray cat
47_2.png,Two young children with ties and gray cat
47_3.png,Two young children with ties and gray cat
48_0.png,A cat that doesn't have much on the pillows
48_1.png,A cat that doesn't have much on the pillows
48_2.png,A cat that doesn't have much on the pillows
48_3.png,A cat that doesn't have much on the pillows
49_0.png,A cat is perched on top of a plate with a rolling chair
49_1.png,A cat is perched on top of a plate with a rolling chair
49_2.png,A cat is perched on top of a plate with a rolling chair
49_3.png,A cat is perched on top of a plate with a rolling chair
50_0.png,Two hotdogs on a ski lift A man who is holding a remote control at a cat
50_1.png,Two hotdogs on a ski lift A man who is holding a remote control at a cat
50_2.png,Two hotdogs on a ski lift A man who is holding a remote control at a cat
50_3.png,Two hotdogs on a ski lift A man who is holding a remote control at a cat
51_0.png,A white cat under a black laptop sits next to a man
51_1.png,A white cat under a black laptop sits next to a man
51_2.png,A white cat under a black laptop sits next to a man
51_3.png,A white cat under a black laptop sits next to a man
